name,combined_text,overall_player_rating,rating_encoded
LOCKDOWN Protocol,"a first person social deduction game, combining real time action and communication, 3 to 8 players. while most players will do their best to complete objectives and ensure victory, a small portion of dissidents will try to stop them at all costs, without getting caught. about this game
							lockdown protocol is a first person social deduction game, combining real time action and communication, 3 to 8 players.in this game, players have to work together to collaboratively complete tasks in time. while most players will do their best to complete this objective and ensure victory, a small portion of dissidents will try to stop them at all costs, without getting caught. ['early access', 'multiplayer', 'social deduction', 'conversation', 'action', 'space', 'casual', 'investigation', 'sci-fi', 'real time tactics', 'fps', 'puzzle', 'pvp', 'first-person', 'perma death', 'cute', '3d', 'team-based', 'strategy', 'stylized']",Very Positive,4.0
Call of Duty®: Warzone™,"welcome to call of duty®: warzone™, the massive free-to-play combat arena which now features urzikstan, rebirth island and fortune’s keep. about this game
							welcome to call of duty®: warzone™, the massive free-to-play combat arena which now features urzikstan, rebirth island and fortune’s keep.

turn the heat up
prepare to take the battle to a new metropolis in the all-new urzikstan map, the new big battle royale map. jump in to celebrate the epic return of rebirth island and fortune’s keep, two resurgence maps that are sure to excite veterans and newcomers alike.

loot for rewards
discover supply boxes and complete contracts to build your arsenal and gain a tactical advantage. ['free to play', 'fps', 'battle royale', 'multiplayer', 'action', 'shooter', 'violent', 'first-person', 'singleplayer', 'gore', 'military', 'pvp', 'online co-op', 'survival', 'co-op', 'realistic', 'open world', 'third person', 'adventure', 'atmospheric']",Mostly Negative,1.0
Rust,"the only aim in rust is to survive. everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. do whatever it takes to last another night. about this game
							the only aim in rust is to survive. everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. do whatever it takes to last another night.rust is in its 10th year and has now had over 375 content updates, with a guaranteed content patch every month. from regular balance fixes and improvements to ai and graphics updates to adding content like new maps, musical instruments, trains and drones, as well as regular seasons and events, there’s always something interesting or dangerous (or both) happening on the island. updates to the game include:procedurally generated worlds with map editor supporthost your own servers and with server-side modding supportvehicles: horses, modular cars, hot air balloons, helicopters, trains, boats and morecomplex electrical and automation systems farmingnew enemies, wildlife and factionsnew monuments and areas to exploregestures and contact systemmusical instrumentslarge train networkhuge recent graphics overhaul..and moreexploreyou wake naked on a mysterious island armed only with a rock and a torch. you’ll need to brave natural dangers (from heat and cold to thirst and starvation), build a shelter, eat (or be eaten), scavenge materials. explore the island, its abandoned settlements, mysterious monuments and the factions that occupy them. but, above all, watch out for other survivors...builddesign and build bases to defend your territory or control the resources of the island. research the tech tree, grow farms, command electricity, commandeer vehicles from horses to cars to boats to helicopters. whatever it takes to get ahead.survivethere are no rules in rust but the ones you make for yourself. craft tools, armor and weapons to defend yourself. cooperate with friends and allies and build a town together. explore the island and what’s happening in it. trade with other players. or prey on them, raiding their bases and taking their hard-won goods.for parental controls, please see steam family view: https://help.steampowered.com/en/faqs/view/6b1a-66be-e911-3d98 ['survival', 'crafting', 'multiplayer', 'open world', 'open world survival craft', 'building', 'pvp', 'sandbox', 'adventure', 'first-person', 'action', 'nudity', 'fps', 'shooter', 'co-op', 'online co-op', 'indie', 'early access', 'post-apocalyptic', 'simulation']",Very Positive,4.0
Noita,"noita is a magical action roguelite set in a world where every pixel is physically simulated. fight, explore, melt, burn, freeze and evaporate your way through the procedurally generated world using spells you've created yourself. about this game
noita is a magical action roguelite set in a world where every pixel is physically simulated. fight, explore, melt, burn, freeze and evaporate your way through the procedurally generated world using spells you've created yourself. explore a variety of environments ranging from coal mines to freezing wastelands while delving deeper in search for unknown mysteries.pixel-based physics: every pixel in the world is simulated. burn, explode or melt anything. swim in the blood of your foes! enter a simulated world that is more interactive than anything you've seen before.your own magic: combine spells to create your own magic as you delve deeper into the caverns. use magic to crush your enemies and manipulate the world around you.procedurally generated world: explore a unique world every time you play. discover new environments as you adventure deeper.action roguelite: death is permanent and always a looming threat. when you die, don’t despair, use what you’ve learned to get further on your next adventure.noita is being developed by nolla games, a company set up by 3 indie developers, all of whom have worked on their own projects in the past.the three gents in question are:petri purhopetri is best known as the creator of crayon physics deluxe. in his youth he also made a lot tiny freeware games. he has also made a bunch of board games, but he hasn't told about it to anyone. so please keep it a secret.olli harjolaolli is known for the award-winning, mind-bending sci-fi puzzler the swapper. besides indie games, he also dabbles in music, live visuals and making programming languages.arvi teikariarvi is also known as hempuli. over the years he has released a lot of tiny experimental games, so many in fact that he is unaware of all of them. one of the games he remembers making is baba is you. ['physics', 'difficult', 'roguelike', 'pixel graphics', 'dungeon crawler', 'indie', 'open world', '2d', 'sandbox', 'perma death', 'action', 'action roguelike', 'gun customization', 'rpg', '2d platformer', 'roguelite', 'dark humor', 'mythology', 'action-adventure', 'crafting']",Overwhelmingly Positive,4.0
Dead Rising Deluxe Remaster,"dead rising returns with modern graphics in this deluxe remaster! about this game
							dead rising returns with modern graphics!more than just a remaster, this deluxe remaster is a full graphical overhaul of the first game in zombie-slaughtering action game series ""dead rising.""this remaster has also been fully voiced, supports auto-saves, and has various other quality-of-life features.witness the unmatched mayhem and freedom for yourself!- story:one day, the peaceful town of willamette, colorado, found itself put under quarantine by the u.s. army.frank west, a freelance journalist, smells a scoop and finds his way into the only shopping mall in town.unfortunately, the mall had turned into a living hell, crawling with countless zombies.help will arrive in 72 hours, so it's up to him to find out the truth behind this incident before it's too late!- realistic graphics reborn through re engine!all of the graphics, including the characters and environments, have been renewed, and greatly improved over the original.character's facial expressions, material textures, and blood spatter all look much more realistic.overwhelming hordes of zombies fill the screen with completely remade graphics!- smoother and friendlier to play!the gameplay of the original remains intact, but there are various quality-of-life improvements, such as auto-saving, revamped controls, improved ui, and many other details.the game is now also fully voiced for improved immersion.- spend 72 hours the way you want!the game takes place in a giant shopping mall.use regular weapons like guns and baseball bats, or use daily household objects. anything goes when it comes to survival!rescue other survivors, and try out some new clothes while you're at it.just remember that under these extreme circumstances, it's not just zombies, but psychopaths you'll have to deal with as well. who poses the biggest threat, zombies or humans!? ['action', 'adventure', 'zombies', 'action-adventure', 'sandbox', 'survival', 'spectacle fighter', 'horror', 'dark', 'dark comedy', 'time management', 'singleplayer', 'sci-fi', 'third person', 'lgbtq+', 'gore', 'cinematic', 'cute', 'multiple endings', 'funny']",Very Positive,4.0
ELDEN RING Shadow of the Erdtree,"about this content
shadow of the erdtree is an expansion to elden ring, the 2022 game of the year.dark and intense, shadow of the erdtree has players continue their quest with the freedom to explore and experience the adventure at their own pace.• new immersive areas rich with secretsthe realm of shadow has been kept apart from the lands between since its creation. now, in pursuit of miquella, the tarnished are among the first souls to set foot here in unknown ages. traverse new open field areas to reach dense new legacy dungeons full of hazards and undiscovered mysteries.• powerful and challenging enemiesdangers both great and small will provide a formidable challenge for any player in the realm of shadow. new enemies roam the open areas and horrifying new monsters lurk in caverns and hollows, waiting to ambush the unaware. anyone capable of surviving these intense battles will know the rush of true victory.• new weapons, spells, and armor to enhance your unique charactermany new powers can be found in this scorched realm: weapons and armor, sorceries and incantations, and spirits and skills. you may find something unexpected to surprise an enemy, such as thrusting shields that combine offense and defense. or, you may find something to complement your combat style, like hand-to-hand combat that combine palm strikes and kicks without a weapon.• learn the untold story of an unseen war as you follow in miquella’s footstepsyou aren’t the only one tracking miquella through the realm of shadow, and as you press deeper and deeper into the mystery, you’ll find a complex interplay of personalities and motivations to navigate, giving you new insight into miquella’s history and marika’s hidden past.*shadow of the erdtree content requires the base game product.*other base game editions containing this content are also available. be careful of duplicate purchases. ['action', 'rpg', 'souls-like', 'difficult', 'fantasy', 'dark', 'lore-rich', 'exploration', 'adventure', 'story rich', 'third person', 'singleplayer', 'pve', 'action rpg', 'character customization', 'pvp', 'online co-op', 'multiplayer', '3d', 'co-op']",Mostly Positive,3.0
Diablo® IV,"join the fight for sanctuary in diablo® iv, the ultimate action rpg adventure. experience the critically acclaimed campaign and new seasonal content. about this game
							pre-purchase any digital edition of diablo® iv: vessel of hatred™ and receive: alkor the snow leopard pet - for immediate use in diablo® iv* mother’s lament legendary gem - for immediate use in diablo immortal®**diablo® iv is the ultimate action-rpg experience with endless evil to slaughter, countless abilities to master, nightmarish dungeons, and legendary loot. embark on the epic campaign solo or with friends, meeting memorable characters through a gripping story in a beautifully dark world, or explore an expansive end game: battle for a top spot on the global leaderboards in the gauntlet, fight back the onslaught of hell in helltides, master the forge to create your ultimate weapons and progress powerful characters, with cross-play and cross-progression on all available platforms.welcome to helldiscover the critically acclaimed franchise that defined the action rpg genre. as the battle between the high heavens and burning hells rages on, hatred devours sanctuary as evil spreads and a new wave of cultists and worshippers arise to embrace lilith’s coming. only a brave few dare to face this threat and bring light to the all-consuming darkness.expansive open worldforge your own path through the corrupted lands of sanctuary, an ever-growing, fully explorable world teeming with challenges, quests, enemies, and loot. join your fellow adventurers, rescue and retake besieged towns, delve into nightmarish dungeons and uncover lost secrets as you fight back evil. the many zones of sanctuary are yours to explore, and with rotating areas of extreme peril like world bosses and helltide, danger lurks at every turn.immersive character developmentcreate and customize your character to face the encroaching darkness. choose from one of five classes and build your hero with skills, abilities and cosmetics, creating a champion that is uniquely your own. grow stronger as you progress through powerful skill trees and develop even more unique end game specializations with paragon boards.legendary gear, epic battlesdiscover and experiment with a vast arsenal of powerful weapons, armor and more to fight back against the demons threatening sanctuary. explore unique combinations, create your own upgrades and collect a plethora of powerful tools to battle in immersive, action-packed combat against the deadliest of enemies.seasons & eventsthe tales of sanctuary continue to unfold. create seasonal characters and join in fresh adventures - master new mechanics and take on the latest threats in each new season. complete harrowing feats of the season journey and earn new battle pass rewards. plus, sharpen your swords and get in the spirit of the seasons when limited-time events sweep through sanctuary.end game undertakingsthere’s even more diablo® iv to explore as you reach higher levels and more fearsome world tiers. face the greatest challenge yet as you take on the most powerful demons in the pit, steel yourself against uber bosses to reap uber unique rewards, fight back overflowing armies of hell as helltides emerge across sanctuary, battle larger-than-life world bosses, and master the forge to create the mightiest weapons fit for a hero. ['action rpg', 'hack and slash', 'loot', 'isometric', 'rpg', 'online co-op', 'singleplayer', 'co-op', 'action', 'third person', 'dungeon crawler', 'multiplayer', 'fantasy', 'pve', 'dark fantasy', 'story rich', 'gore', 'exploration', 'violent', 'point & click']",Mostly Positive,3.0
FINAL FANTASY XIV Online,"join over 30 million adventurers worldwide and take part in an epic and ever-changing final fantasy. experience an unforgettable story, exhilarating battles, and a myriad of captivating environments to explore. about this game
							for newcomers to final fantasy xiv online, this edition includes three award-winning titles - final fantasy xiv: a realm reborn the base game, and the first and second expansions: final fantasy xiv: heavensward and final fantasy xiv: stormblood. this edition also includes a 30-day free play period*join over 30 million adventurers worldwide and take part in an epic and ever-changing final fantasy. experience all the hallmarks of the best-selling franchise - an unforgettable story, exhilarating battles, and a myriad of diverse and captivating environments to explore.party up with friends or play solo! experience all the main story dungeons on your own by calling upon npc allies to fight by your side.your journey takes you ever higher in final fantasy xiv: heavensward:• take your first steps in the reclusive nation of ishgard, locked in a seemingly never-ending struggle with dragons.• three additional jobs: channel celestial magicks to heal your allies as the mystical astrologian. attack from afar using firearms and mechanical weaponry as the daring machinist. wield a mighty greatsword and the power of darkness as the valiant dark knight. rekindle the fires of hope in final fantasy xiv: stormblood: • journey to the east and rise up against the might of the garlean empire.• two additional jobs: master the balance of martial and arcane arts as the rapier-wielding red mage. draw your katana and let steel sing as the noble samurai.important:• *the 30-day free play period included with purchase can only be applied once to each platform on a single service account.• square enix accounts registered to the final fantasy xiv online starter edition will not be eligible for the final fantasy xiv free trial. certain features currently contained in the final fantasy xiv online starter edition, and additional content, may become available in the final fantasy xiv free trial in the future.• all editions of the game require user registration. all editions of the game other than the free trial require an active paid subscription to play.final fantasy xiv online game packages available on steam may only be registered and added on a square enix account that has the base game “final fantasy xiv online starter edition"" (or formerly known as ""final fantasy xiv: a realm reborn”) purchased on steam.•  to view your 20 digit registration codes after purchase, simply right-click on “final fantasy xiv” in your steam “library” and select “view cd key” on the steam client. the codes will always be accessible from this location should you ever need to reference them again.•  the registration codes can be redeemed immediately on the mog station https://sqex.to/msp. if this is your first time installing and registering ""final fantasy xiv online"", you may redeem your registration codes during the initial installation process.• age restrictions and other terms and conditions apply. please refer to the user agreement (https://sqex.to/ffxiv_agreement) and square enix account terms of use (https://sqex.to/ffxiv_terms) for the terms and conditions of registration and service. please visit the final fantasy xiv website at https://www.finalfantasyxiv.com/ for additional information. ['mmorpg', 'rpg', 'massively multiplayer', 'fantasy', 'character customization', 'jrpg', 'story rich', 'open world', 'multiplayer', 'magic', 'adventure', 'third person', 'co-op', 'action', 'online co-op', 'atmospheric', 'exploration', 'action rpg', 'crafting', 'female protagonist']",Very Positive,4.0
Wallpaper Engine,"use stunning live wallpapers on your desktop. animate your own images to create new wallpapers or import videos/websites and share them on the steam workshop! about this software
							wallpaper engine enables you to use live wallpapers on your windows desktop. various types of animated wallpapers are supported, including 3d and 2d animations, websites, videos and even certain applications. choose an existing wallpaper or create your own and share it on the steam workshop! in addition to that, you can use the free wallpaper engine companion app for android to transfer your favorite wallpapers to your android mobile device and take your live wallpapers on the go.new: use the free android companion app to transfer your favorite wallpapers to your android mobile device.bring your desktop wallpapers alive with realtime graphics, videos, applications or websites.use animated screensavers while you are away from your computer.personalize animated wallpapers with your favorite colors.use interactive wallpapers that can be controlled with your mouse.many aspect ratios and native resolutions supported including 16:9, 21:9, 16:10, 4:3.multi monitor environments are supported.wallpapers will pause while playing games to save performance.create your own animated wallpapers in the wallpaper engine editor.animate new live wallpapers from basic images or import html or video files for the wallpaper.use the steam workshop to share and download wallpapers for free.wallpaper engine can be used at the same time as any other steam game or application.supported video formats: mp4, webm, avi, m4v, mov, wmv (for local files, workshop only allows mp4).use the free android companion app to take your favorite scene and video wallpapers on the go.support for razer chroma and corsair icue.wallpaper engine aims to deliver an entertaining experience while using as few system resources as possible. you can choose to automatically pause or completely stop the wallpaper while using another application or playing fullscreen (including borderless windowed mode) to not distract or hinder you while playing a game or working. many options to tweak quality and performance allow you to make wallpaper engine fit your computer perfectly. as a general rule of thumb, 3d, 2d and video based wallpapers will perform best, while websites and applications will require more resources from your system. having a dedicated gpu is highly recommended, but not required.choose from over a million free wallpapers from the steam workshop with new wallpapers being uploaded every day! can't find a wallpaper that fits your mood? let your imagination go wild by using the wallpaper engine editor to create your own animated wallpapers from images, videos, websites or applications. a large selection of presets and effects allow you to animate your own images and share them on the steam workshop or to just use them for yourself. ['mature', 'utilities', 'software', 'anime', 'design & illustration', 'animation & modeling', 'nsfw', 'first-person', 'indie', 'memes', 'cute', 'action', 'singleplayer', 'funny', 'early access', 'photo editing', 'sandbox', 'horror', 'game development', 'gaming']",Overwhelmingly Positive,4.0
Destiny 2,"destiny 2 is an action mmo with a single evolving world that you and your friends can join anytime, anywhere, absolutely free. about this game
							dive into the world of destiny 2 to explore the mysteries of the solar system and experience responsive first-person shooter combat. unlock powerful elemental abilities and collect unique gear to customize your guardian's look and playstyle. enjoy destiny 2’s cinematic story, challenging co-op missions, and a variety of pvp modes alone or with friends. download for free today and write your legend in the stars.an immersive storyyou are a guardian, defender of the last city of humanity in a solar system under siege by infamous villains. look to the stars and stand against the darkness. your legend begins now.guardian classeschoose from the armored titan, mystic warlock, or swift hunter.titandisciplined and proud, titans are capable of both aggressive assaults and stalwart defenses. set your hammer ablaze, crack the sky with lightning, and go toe-to-toe with any opponent. your team will stand tall behind the strength of your shield.warlockwarlocks weaponize the mysteries of the universe to sustain themselves and destroy their foes. rain devastation on the battlefield and clear hordes of enemies in the blink of an eye. those who stand with you will know the true power of the light.hunteragile and daring, hunters are quick on their feet and quicker on the draw. fan the hammer of your golden gun, flow through enemies like the wind, or strike from the darkness. find the enemy, take aim, and end the fight before it starts.cooperative and competitive multiplayerplay with or against your friends and other guardians in various pve and pvp game modes.cooperative multiplayerexciting co-op adventures teeming await with rare and powerful rewards. dive into the story with missions, quests, and patrols. put together a small fireteam and secure the chest at the end of a quick strike. or test your team's skill with countless hours of raid progression – the ultimate challenge for any fireteam. you decide where your legend begins.competitive multiplayerface off against other players in fast-paced free-for-all skirmishes, team arenas, and pve/pvp hybrid competitions. mark special competitions like iron banner on your calendar and collect limited-time rewards before they're gone.exotic weapons and armorthousands of weapons, millions of options. discover new gear combinations and define your own personal style. the hunt for the perfect arsenal begins. ['free to play', 'open world', 'multiplayer', 'looter shooter', 'fps', 'mmorpg', 'co-op', 'pve', 'pvp', 'shooter', 'massively multiplayer', 'loot', 'first-person', 'sci-fi', 'action', 'adventure', 'lore-rich', 'space', 'competitive', 'atmospheric']",Very Positive,4.0
Team Fortress 2,"nine distinct classes provide a broad range of tactical abilities and personalities. constantly updated with new game modes, maps, equipment and, most importantly, hats! about this game
""the most fun you can have online"" - pc gamer
is now free!
									 there’s no catch! play as much as you want, as long as you like!
the most highly-rated free game of all time!
									 one of the most popular online action games of all time, team fortress 2 delivers constant free updates—new game modes, maps, equipment and, most importantly, hats. nine distinct classes provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills.
new to tf? don’t sweat it!
									 no matter what your style and experience, we’ve got a character for you. detailed training and offline practice modes will help you hone your skills before jumping into one of tf2’s many game modes, including capture the flag, control point, payload, arena, king of the hill and more.
make a character your own!
									 there are hundreds of weapons, hats and more to collect, craft, buy and trade. tweak your favorite class to suit your gameplay style and personal taste. you don’t need to pay to win—virtually all of the items in the mann co. store can also be found in-game. ['free to play', 'hero shooter', 'multiplayer', 'fps', 'shooter', 'action', 'class-based', 'team-based', 'funny', 'first-person', 'online co-op', 'competitive', 'cartoony', 'trading', 'co-op', 'comedy', 'robots', 'tactical', 'cartoon', 'crafting']",Very Positive,4.0
The Elder Scrolls® Online,"join over 22 million players in the award-winning online multiplayer rpg and experience limitless adventure in a persistent elder scrolls world. battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. no game subscription required. about this game
							experience an ever-expanding story across all of tamriel in the elder scrolls online, an award-winning online rpg. explore a rich, living world with friends or embark upon a solo adventure. enjoy complete control over how your character looks and plays, from the weapons you wield to the skills you learn – the choices you make will shape your destiny. welcome to a world without limits.play the way you likebattle, craft, steal, siege, or explore, and combine different types of armor, weapons, and abilities to create your own style of play. the choice is yours to make in a persistent, ever-growing elder scrolls world.tell your own storydiscover the secrets of tamriel as you set off to regain your lost soul and save the world from oblivion. experience any story in any part of the world, in whichever order you choose – with others or alone.a multiplayer rpgcomplete quests with friends, join fellow adventurers to explore dangerous, monster-filled dungeons, or take part in epic pvp battles with hundreds of other players. ['rpg', 'mmorpg', 'open world', 'fantasy', 'adventure', 'exploration', 'multiplayer', 'singleplayer', 'massively multiplayer', 'action', 'character customization', 'pvp', 'pve', 'lore-rich', 'story rich', 'choose your own adventure', 'magic', 'action rpg', 'class-based', 'atmospheric']",Very Positive,4.0
Red Dead Redemption 2,"winner of over 175 game of the year awards and recipient of over 250 perfect scores, rdr2 is the epic tale of outlaw arthur morgan and the infamous van der linde gang, on the run across america at the dawn of the modern age. also includes access to the shared living world of red dead online. about this game
							america, 1899.

arthur morgan and the van der linde gang are outlaws on the run. with federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of america in order to survive. as deepening internal divisions threaten to tear the gang apart, arthur must make a choice between his own ideals and loyalty to the gang who raised him.

now featuring additional story mode content and a fully-featured photo mode, red dead redemption 2 also includes free access to the shared living world of red dead online, where players take on an array of roles to carve their own unique path on the frontier as they track wanted criminals as a bounty hunter, create a business as a trader, unearth exotic treasures as a collector or run an underground distillery as a moonshiner and much more.

with all new graphical and technical enhancements for deeper immersion, red dead redemption 2 for pc takes full advantage of the power of the pc to bring every corner of this massive, rich and detailed world to life including increased draw distances; higher quality global illumination and ambient occlusion for improved day and night lighting; improved reflections and deeper, higher resolution shadows at all distances; tessellated tree textures and improved grass and fur textures for added realism in every plant and animal.

red dead redemption 2 for pc also offers hdr support, the ability to run high-end display setups with 4k resolution and beyond, multi-monitor configurations, widescreen configurations, faster frame rates and more. ['open world', 'story rich', 'western', 'adventure', 'multiplayer', 'action', 'realistic', 'singleplayer', 'shooter', 'atmospheric', 'horses', 'beautiful', 'mature', 'third-person shooter', 'great soundtrack', 'third person', 'gore', 'sandbox', 'first-person', 'fps']",Very Positive,4.0
Black Desert,"played by over 20 million adventurers - black desert online is an open-world, action mmorpg. experience intense, action-packed combat, battle massive world bosses, fight alongside friends to siege and conquer castles, and train in professions such as fishing, trading, crafting, cooking, and more! about this game
go beyond limits : world class mmorpgblack desert is a game that tests the limitations of mmorpgby implementing remastered graphics and audio. enjoy exciting combat and siege,exploration, trading, fishing, training, alchemy, cooking, gathering, hunting, and more in the vast open world.black desert - a true mmorpgthe start of your dream adventureopen worldan expansive, breathtaking open world mmorpg made with pearl abyss' proprietary game engine.customizingbecome your true selfexperience insane levels of customization.from height, torso, face, and skin texture, to micro-level details, your imagination is the limit!create your own unique characters, just like you've always desired, in black desert.combatnon-target & fast-paced combatexperience an innovative combat system unlike any other mmorpg.the need for quick reactions and precise control will keep you enthralled throughout your entire experience.exciting commands/combos will always keep you on your toes.node & siege warlarge-scale pvp warsguilds, prepare for battle! victory is near!join formidable guilds as they fight head-to-head on the battlefield.be victorious, become lords, and seize control of taxes, resources, and more!graphicsremastered cutting-edge graphicsenter a world with spectacular sceneries, realistic environments, and sophisticated details created with state-of-the-art graphics and prepare for unforgettable adventures.life skillsmultitudes of in-game activitiescombat not your style?relax and enjoy a variety of pleasant life skill activities!with a variety of choices including farming, trading, fishing, sailing, cooking, horse training, alchemy, and more, the professions are endless. try your hand at any or all of them! ['mmorpg', 'massively multiplayer', 'open world', 'rpg', 'character customization', 'adventure', 'fantasy', 'action', 'strategy', '3d', 'medieval', 'crafting', 'multiplayer', 'atmospheric', 'magic', 'simulation', 'pvp', 'cooking', 'war', 'combat']",Mostly Positive,3.0
Call of Duty®: Black Ops II,"pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, call of duty®: black ops ii propels players into a near future cold war about this game
							pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, call of duty®: black ops ii propels players into a near future, 21st century cold war, where technology and weapons have converged to create a new generation of warfare. ['action', 'multiplayer', 'fps', 'shooter', 'first-person', 'singleplayer', 'co-op', 'war', 'online co-op', 'team-based', 'futuristic', 'controller', 'survival', 'tactical', 'great soundtrack', 'horror', 'adventure', 'sci-fi', 'massively multiplayer', 'atmospheric']",Very Positive,4.0
Risk of Rain 2,"escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing. about this game
survive an alien planetover a dozen handcrafted locales await, each packed with challenging monsters and enormous bosses that oppose your continued existence. fight your way to the final boss and escape or continue your run indefinitely to see just how long you can survive. a unique scaling system means both you and your foes limitlessly increase in power over the course of a game.discover powerful new itemsmore than 110 items keep each run fresh and full of new challenge. the more items you collect, the more their effects combine, the more surprising some of those combinations might be. the more items you encounter, the more lore (and strategy) you’ll discover through the logs.unlock new ways to play unlock a crew of eleven playable survivors, each with their own unique combat style and alternate skills to master. learn the secrets of the artifacts to toggle gameplay modifiers like friendly fire, random survivor spawns, item selection and more. with randomized stages, enemies, and items, no run will ever be the same.play solo or co-optackle the adventure solo or with up to three friends in online co-op, or compete in the rotating challenge of the prismatic trials. brand new survivors like the captain and mul-t join classic survivors such as the engineer, huntress, and--of course--the commando. ['third-person shooter', 'action roguelike', 'multiplayer', 'co-op', 'action', 'roguelite', 'roguelike', 'looter shooter', 'loot', 'online co-op', 'shooter', 'difficult', 'third person', 'great soundtrack', 'indie', 'survival', 'singleplayer', 'soundtrack', 'early access', 'bullet hell']",Very Positive,4.0
Terraria,"dig, fight, explore, build! nothing is impossible in this action-packed adventure game. four pack also available! about this game
							dig, fight, explore, build:  the very world is at your fingertips as you fight for survival, fortune, and glory.   will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics?   perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat?   maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? in the world of terraria, the choice is yours!blending elements of classic action games with the freedom of sandbox-style creativity, terraria is a unique gaming experience where both the journey and the destination are completely in the player’s control.   the terraria adventure is truly as unique as the players themselves!  are you up for the monumental task of exploring, creating, and defending a world of your own?   key features: sandbox play  randomly generated worlds free content updates ['open world survival craft', 'sandbox', 'survival', '2d', 'multiplayer', 'adventure', 'pixel graphics', 'crafting', 'building', 'exploration', 'co-op', 'open world', 'online co-op', 'indie', 'action', 'rpg', 'singleplayer', 'replay value', 'platformer', 'atmospheric']",Overwhelmingly Positive,4.0
Left 4 Dead 2,"set in the zombie apocalypse, left 4 dead 2 (l4d2) is the highly anticipated sequel to the award-winning left 4 dead, the #1 co-op game of 2008. this co-operative action horror fps takes you and your friends through the cities, swamps and cemeteries of the deep south, from savannah to new orleans across five expansive campaigns. about this game
							set in the zombie apocalypse, left 4 dead 2 (l4d2) is the highly anticipated sequel to the award-winning left 4 dead, the #1 co-op game of 2008.  this co-operative action horror fps takes you and your friends through the cities, swamps and cemeteries of the deep south, from savannah to new orleans across five expansive campaigns. you'll play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. in addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan. you'll be putting these weapons to the test against (or playing as in versus) three horrific and formidable new special infected. you'll also encounter five new uncommon common infected, including the terrifying mudmen.helping to take l4d's frantic, action-packed gameplay to the next level is ai director 2.0. this improved director has the ability to procedurally change the weather you'll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. l4d2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play.next generation co-op action gaming from the makers of half-life, portal, team fortress and counter-strike.over 20 new weapons & items headlined by over 10 melee weapons – axe, chainsaw, frying pan, baseball bat – allow you to get up close with the zombiesnew survivors. new story. new dialogue. five expansive campaigns for co-operative, versus and survival game modes.an all new multiplayer mode.uncommon common infected. each of the five new campaigns contains at least one new uncommon common zombies which are exclusive to that campaign. ai director 2.0: advanced technology dubbed the ai director drove l4d's unique gameplay – customizing enemy population, effects, and music, based upon the players’ performance. l4d 2 features the ai director 2.0 which expands the director’s ability to customize level layout, world objects, weather, and lighting to reflect different times of day.stats, rankings, and awards system drives collaborative play ['zombies', 'co-op', 'fps', 'multiplayer', 'shooter', 'online co-op', 'action', 'survival', 'horror', 'first-person', 'gore', 'team-based', 'moddable', 'survival horror', 'post-apocalyptic', 'singleplayer', 'adventure', 'local co-op', 'replay value', 'tactical']",Overwhelmingly Positive,4.0
The Forest,"as the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. build, explore, survive in this terrifying first person survival horror simulator. about this game
							as the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. build, explore, survive in this terrifying first person survival horror simulator.key  featuresenter a living, breathing world, where every tree and plant can be chopped down. below ground explore a vast network of caves and underground lakes. chop down trees to build a camp, or start a fire to keep warm. scavenge food to keep yourself from starving. build a small shelter or a large ocean side fortress. lay traps and defences to keep a safe perimeter. explore and build during the day. defend your base at night. craft weapons and tools. bunker down during the evening or bring the fight directly to the enemy. defend yourself against a clan of genetic mutant enemies that have beliefs, families, morals and that appear almost human. use stealth to evade enemies, or engage them directly with crude weapons built from sticks and stones. ['open world survival craft', 'survival', 'open world', 'horror', 'crafting', 'adventure', 'building', 'survival horror', 'first-person', 'action', 'exploration', 'sandbox', 'singleplayer', 'atmospheric', 'simulation', 'gore', 'realistic', 'indie', 'zombies', 'early access']",Overwhelmingly Positive,4.0
